"Date","GMT","Max_TemperatureC","Mean_TemperatureC","Min_TemperatureC","Dew_PointC","MeanDew_PointC","Min_DewpointC","Max_Humidity","Mean_Humidity","Min_Humidity","Max_Sea_Level_PressurehPa","Mean_Sea_Level_PressurehPa","Min_Sea_Level_PressurehPa","Max_VisibilityKm","Mean_VisibilityKm","Min_VisibilitykM","Max_Wind_SpeedKm_h","Mean_Wind_SpeedKm_h","Max_Gust_SpeedKm_h","Precipitationmm","CloudCover","Events","WindDirDegrees"
2011-01-26,"2011-1-26",7,4,2,5,3,-1,93,85,76,1017,1011,1008,10,9,5,32,11,NA,0,6,"Rain",20
2011-01-27,"2011-1-27",3,2,1,-1,-3,-5,81,69,60,1024,1021,1017,10,10,9,26,19,40,0,7,"Snow",41
2011-01-28,"2011-1-28",2,1,0,-2,-4,-5,81,69,65,1024,1023,1022,10,10,10,27,21,NA,0,7,"",49
2011-01-29,"2011-1-29",2,1,1,-2,-3,-3,81,75,70,1024,1022,1021,10,10,9,23,13,NA,0,7,"",32
2011-01-30,"2011-1-30",5,2,0,0,-2,-3,87,77,65,1025,1023,1022,10,10,10,24,11,NA,0,5,"",43
2011-01-31,"2011-1-31",5,2,-1,-2,-2,-3,87,72,61,1027,1026,1024,10,10,6,13,6,NA,0,6,"",244
2011-02-01,"2011-2-1",7,2,-2,6,2,-4,93,86,75,1028,1026,1024,10,8,3,24,14,NA,0,6,"Rain",243
2011-02-02,"2011-2-2",11,6,2,8,5,2,100,89,76,1028,1024,1021,10,8,1,27,16,45,0,5,"Fog-Rain",230
2011-02-03,"2011-2-3",10,8,5,5,4,1,87,75,54,1026,1023,1017,10,10,9,35,19,55,0,2,"",236
2011-02-04,"2011-2-4",13,11,10,8,7,6,82,74,67,1017,1016,1015,10,10,10,42,34,63,0,6,"",235
2011-02-05,"2011-2-5",13,12,11,9,8,7,88,75,72,1019,1017,1015,10,10,5,39,32,60,0,7,"",235
2011-02-06,"2011-2-6",12,11,10,8,7,5,87,75,67,1020,1019,1019,10,10,9,39,31,58,0,6,"",226
2011-02-07,"2011-2-7",12,9,7,8,4,3,82,73,62,1019,1015,1010,10,10,10,40,24,60,0,5,"",229
2011-02-08,"2011-2-8",10,7,3,3,2,-2,93,77,43,1024,1022,1020,10,10,10,14,8,NA,0,1,"",181
2011-02-09,"2011-2-9",10,7,4,7,6,2,93,83,71,1020,1018,1016,10,9,5,16,10,NA,0,4,"",164
2011-02-10,"2011-2-10",11,9,8,10,8,6,94,88,76,1016,1013,1010,10,8,2,16,10,NA,0,6,"Rain",219
2011-02-11,"2011-2-11",13,11,9,10,8,6,94,87,77,1012,1011,1010,10,9,5,19,13,NA,0,6,"Rain",223
2011-02-12,"2011-2-12",11,8,6,9,6,2,94,81,58,1011,1011,1010,10,9,3,24,11,NA,0,5,"Rain",235
2011-02-13,"2011-2-13",9,7,6,7,5,4,93,83,76,1009,1002,998,10,10,7,26,16,48,0,5,"Rain",166
2011-02-14,"2011-2-14",10,8,5,5,3,1,93,77,54,1003,1001,998,10,10,10,24,11,NA,0,3,"Rain",203
2011-02-15,"2011-2-15",8,7,5,5,4,3,93,85,76,998,992,989,10,10,9,26,13,NA,0,5,"Rain",145
2011-02-16,"2011-2-16",10,8,5,5,4,2,93,80,58,999,995,991,10,10,7,23,11,NA,0,4,"",149
2011-02-17,"2011-2-17",8,6,4,5,4,3,100,90,76,1011,1005,1000,9,4,1,19,11,NA,0,6,"Fog",72
2011-02-18,"2011-2-18",7,4,2,4,2,0,87,85,76,1014,1013,1011,5,4,3,24,14,NA,0,6,"",89
2011-02-19,"2011-2-19",6,4,3,5,4,1,100,93,87,1012,1010,1009,5,3,1,23,14,NA,0,6,"Rain",71
2011-02-20,"2011-2-20",6,4,4,5,3,2,93,89,87,1016,1015,1013,4,3,2,19,10,NA,0,6,"",41
2011-02-21,"2011-2-21",7,6,4,4,3,2,93,86,81,1016,1013,1011,6,4,2,19,13,NA,0,7,"Rain",88
2011-02-22,"2011-2-22",7,6,4,5,4,2,93,85,76,1019,1016,1014,7,4,2,11,8,NA,0,7,"Rain",131
2011-02-23,"2011-2-23",11,9,7,10,6,2,94,85,71,1019,1016,1014,10,9,4,19,11,NA,0,6,"Rain",209
2011-02-24,"2011-2-24",14,11,9,9,8,6,93,80,63,1026,1022,1017,10,10,10,19,14,NA,0,4,"",250
2011-02-25,"2011-2-25",15,11,8,9,8,6,93,80,63,1025,1023,1018,10,10,10,27,11,NA,0,5,"Rain",224
2011-02-26,"2011-2-26",11,8,6,9,6,2,88,80,62,1018,1014,1010,10,10,7,29,21,42,0,5,"Rain",265
2011-02-27,"2011-2-27",9,7,5,3,2,1,87,79,58,1025,1020,1018,10,10,10,23,16,NA,0,4,"Rain",303
2011-02-28,"2011-2-28",6,4,3,3,2,1,93,83,81,1034,1029,1025,10,8,5,19,14,NA,0,6,"Rain",7
2011-03-01,"2011-3-1",5,4,3,1,1,0,81,79,75,1039,1037,1035,10,10,7,26,13,NA,0,7,"",28
2011-03-02,"2011-3-2",7,3,1,2,0,-1,87,78,66,1038,1036,1035,10,7,4,23,16,NA,0,6,"",32
2011-03-03,"2011-3-3",5,3,1,1,-1,-1,93,81,70,1036,1035,1034,10,8,5,19,13,NA,0,7,"",24
2011-03-04,"2011-3-4",7,3,1,1,-1,-2,87,77,61,1034,1033,1031,10,9,5,19,13,NA,0,6,"",45
2011-03-05,"2011-3-5",7,3,0,5,1,-2,93,81,66,1032,1031,1029,10,9,2,23,11,NA,0,6,"Rain",41
2011-03-06,"2011-3-6",6,4,3,1,-1,-1,81,69,61,1033,1032,1031,10,10,10,24,18,NA,0,7,"",63
2011-03-07,"2011-3-7",8,4,0,0,-2,-7,93,70,39,1032,1029,1026,10,10,9,24,8,NA,0,4,"",71
2011-03-08,"2011-3-8",12,6,-1,3,1,-2,93,74,44,1026,1020,1016,9,6,0,23,6,NA,0,1,"Fog",247
2011-03-09,"2011-3-9",11,8,5,4,2,0,81,68,47,1017,1016,1014,10,9,5,27,23,42,0,4,"Rain",250
2011-03-10,"2011-3-10",13,9,6,6,4,2,81,68,51,1015,1012,1009,10,10,10,42,27,69,0,5,"",247
2011-03-11,"2011-3-11",12,9,6,4,3,2,81,69,51,1017,1014,1010,10,10,10,24,18,NA,0,5,"",235
2011-03-12,"2011-3-12",13,10,8,7,4,3,87,71,54,1010,1002,998,10,10,9,21,11,NA,0,4,"Rain",163
2011-03-13,"2011-3-13",11,8,5,9,7,3,94,83,71,1010,1001,997,10,9,5,14,8,NA,0,6,"Rain",228
2011-03-14,"2011-3-14",10,6,2,6,4,0,100,85,58,1018,1015,1010,10,8,0,26,8,NA,0,6,"Fog",80
2011-03-15,"2011-3-15",9,7,6,8,7,5,100,93,87,1017,1015,1013,3,2,0,23,14,NA,0,6,"Fog",65
2011-03-16,"2011-3-16",9,7,5,8,6,4,100,89,76,1014,1013,1011,5,2,1,16,11,NA,0,6,"",25
2011-03-17,"2011-3-17",9,7,4,4,3,3,100,84,66,1020,1015,1012,9,5,2,13,10,NA,0,5,"",306
2011-03-18,"2011-3-18",8,6,3,5,3,-2,87,78,57,1030,1023,1020,10,9,5,16,6,NA,0,7,"Rain",22
2011-03-19,"2011-3-19",10,6,1,3,-1,-8,93,69,28,1036,1034,1030,10,10,10,13,5,NA,0,NA,"",75
2011-03-20,"2011-3-20",13,8,3,5,3,0,87,71,51,1034,1033,1031,10,9,5,16,5,NA,0,3,"",215
2011-03-21,"2011-3-21",15,10,5,8,5,3,87,72,51,1036,1034,1033,10,8,5,11,6,NA,0,6,"",240
2011-03-22,"2011-3-22",16,12,8,7,6,4,87,69,48,1040,1038,1036,10,7,4,14,5,NA,0,6,"",102
2011-03-23,"2011-3-23",16,10,5,8,6,4,93,79,55,1042,1040,1038,10,6,2,16,5,NA,0,1,"",84
2011-03-24,"2011-3-24",15,10,5,8,4,-2,100,77,31,1038,1034,1028,10,4,0,26,11,NA,0,5,"Fog",81
2011-03-25,"2011-3-25",17,11,5,8,6,3,93,76,48,1027,1021,1016,10,8,4,19,6,NA,0,NA,"",81
2011-03-26,"2011-3-26",12,9,6,8,6,4,93,85,71,1016,1015,1014,10,6,2,27,13,NA,0,4,"",78
2011-03-27,"2011-3-27",13,10,7,6,5,4,87,77,58,1015,1014,1013,9,6,5,23,16,NA,0,5,"",80
2011-03-28,"2011-3-28",13,9,6,5,3,1,81,67,54,1018,1016,1015,10,8,5,19,6,NA,0,6,"",77
2011-03-29,"2011-3-29",15,9,4,8,4,1,87,73,58,1016,1013,1011,10,7,5,13,6,NA,0,4,"",72
2011-03-30,"2011-3-30",12,11,10,9,8,6,88,81,71,1012,1011,1010,10,8,5,26,11,42,0,5,"Rain",221
2011-03-31,"2011-3-31",18,14,10,11,9,8,94,78,55,1017,1012,1008,10,9,5,39,18,55,0,5,"Rain",232
2011-04-01,"2011-4-1",16,13,12,11,10,9,88,78,63,1019,1017,1015,10,10,10,29,18,40,0,5,"",212
2011-04-02,"2011-4-2",19,14,11,11,9,5,88,66,51,1014,1010,1008,10,10,10,24,14,NA,0,2,"",222
2011-04-03,"2011-4-3",15,11,8,7,6,3,81,65,51,1017,1014,1013,10,10,10,23,13,NA,0,3,"",237
2011-04-04,"2011-4-4",14,10,7,6,4,1,87,69,44,1023,1020,1017,10,10,9,29,19,NA,0,3,"",236
2011-04-05,"2011-4-5",13,11,9,11,8,6,88,82,76,1024,1021,1019,10,10,9,29,21,45,0,5,"Rain",223
2011-04-06,"2011-4-6",22,17,12,12,7,2,88,55,28,1026,1025,1024,10,10,9,23,16,NA,0,7,"",226
2011-04-07,"2011-4-7",20,15,10,11,8,5,72,61,49,1029,1027,1025,10,10,10,16,11,NA,0,3,"",277
2011-04-08,"2011-4-8",21,16,10,8,6,3,77,56,33,1029,1027,1025,10,10,10,21,8,NA,0,5,"",4
2011-04-09,"2011-4-9",16,12,8,9,6,3,87,68,54,1028,1026,1024,10,10,8,24,14,NA,0,NA,"",80
2011-04-10,"2011-4-10",18,12,6,7,4,-3,87,64,24,1025,1024,1023,10,9,8,21,10,NA,0,NA,"",66
2011-04-11,"2011-4-11",20,14,8,10,7,4,87,66,49,1025,1022,1020,10,10,10,29,8,NA,0,4,"Rain",271
2011-04-12,"2011-4-12",14,10,7,4,1,-3,76,55,33,1030,1029,1025,10,10,10,26,18,40,0,2,"",304
2011-04-13,"2011-4-13",13,10,7,4,2,0,76,60,41,1028,1023,1019,10,10,10,21,11,NA,0,4,"Rain",229
2011-04-14,"2011-4-14",14,11,8,6,5,4,76,67,54,1019,1019,1018,10,10,10,14,10,NA,0,5,"",210
2011-04-15,"2011-4-15",16,13,10,7,5,3,76,59,42,1022,1020,1019,10,10,8,13,6,27,0,1,"Rain",201
2011-04-16,"2011-4-16",18,14,11,9,6,4,72,60,40,1024,1022,1021,10,10,10,13,8,NA,0,5,"",239
2011-04-17,"2011-4-17",19,14,10,9,7,5,87,66,42,1026,1024,1023,10,8,5,24,8,NA,0,NA,"",100
2011-04-18,"2011-4-18",18,12,7,9,5,-1,93,63,30,1024,1019,1013,10,5,3,32,11,NA,0,1,"",68
2011-04-19,"2011-4-19",24,17,10,11,7,3,87,57,25,1015,1012,1011,10,7,4,16,6,29,0,NA,"",88
2011-04-20,"2011-4-20",24,17,10,9,8,5,87,58,29,1015,1014,1013,9,5,4,24,8,NA,0,NA,"",52
2011-04-21,"2011-4-21",24,18,12,9,7,3,77,56,29,1015,1013,1011,9,5,3,26,10,NA,0,NA,"",78
2011-04-22,"2011-4-22",25,18,10,11,8,4,87,58,26,1011,1008,1007,9,4,2,14,8,40,0,NA,"",97
2011-04-23,"2011-4-23",26,19,12,12,9,5,88,57,26,1014,1012,1010,10,8,4,16,5,35,0,3,"Rain",78
2011-04-24,"2011-4-24",23,18,13,12,11,9,88,69,50,1022,1018,1014,10,6,4,14,6,NA,0,NA,"",2
2011-04-25,"2011-4-25",20,15,10,9,7,4,88,62,40,1025,1023,1022,10,9,7,21,10,NA,0,NA,"",355
2011-04-26,"2011-4-26",16,12,9,9,7,6,87,73,59,1026,1025,1024,10,10,10,19,11,NA,0,5,"",5
2011-04-27,"2011-4-27",16,12,8,5,3,0,76,59,34,1026,1025,1023,10,10,10,23,14,NA,0,1,"",20
2011-04-28,"2011-4-28",16,11,7,9,6,4,87,74,63,1024,1019,1015,10,10,10,23,14,NA,0,5,"",359
2011-04-29,"2011-4-29",19,14,10,11,9,7,87,74,52,1016,1012,1009,10,8,6,29,13,NA,0,6,"Rain",26
2011-04-30,"2011-4-30",18,14,12,10,8,7,82,64,49,1010,1009,1008,10,10,7,34,18,NA,0,NA,"",67
2011-05-01,"2011-5-1",16,13,12,7,5,2,67,57,42,1012,1010,1009,10,10,10,39,26,NA,0,1,"",71
2011-05-02,"2011-5-2",14,11,8,7,3,-1,76,56,36,1014,1013,1011,10,10,10,42,27,60,0,1,"",67
2011-05-03,"2011-5-3",13,9,6,4,1,-5,87,58,29,1021,1017,1014,10,10,10,32,16,NA,0,1,"",61
2011-05-04,"2011-5-4",15,9,4,5,3,1,81,63,44,1022,1022,1021,10,10,10,26,14,NA,0,1,"",74
2011-05-05,"2011-5-5",20,14,8,7,5,4,82,60,35,1022,1020,1018,10,10,9,23,14,NA,0,6,"Rain",112
2011-05-06,"2011-5-6",24,17,10,8,6,5,76,50,31,1018,1015,1014,10,10,8,21,11,NA,0,NA,"",122
2011-05-07,"2011-5-7",23,18,14,15,12,7,88,67,47,1014,1011,1009,10,10,8,23,13,NA,0,1,"Rain",121
2011-05-08,"2011-5-8",19,17,14,14,10,5,88,65,40,1019,1014,1009,10,10,9,27,13,NA,0,2,"Rain",198
2011-05-09,"2011-5-9",20,16,12,10,8,5,82,59,37,1023,1021,1019,10,10,10,26,11,NA,0,2,"",196
2011-05-10,"2011-5-10",21,16,12,9,6,3,82,54,33,1026,1025,1023,10,10,10,23,11,NA,0,2,"",227
2011-05-11,"2011-5-11",18,14,10,10,8,4,94,67,45,1025,1023,1021,10,10,6,21,13,NA,0,3,"",244
2011-05-12,"2011-5-12",18,14,10,8,6,3,82,57,39,1022,1020,1019,10,10,10,27,19,45,0,2,"",260
2011-05-13,"2011-5-13",18,13,9,8,6,3,82,57,40,1022,1020,1017,10,10,10,26,14,NA,0,3,"",240
2011-05-14,"2011-5-14",16,12,9,6,4,2,76,57,39,1022,1019,1018,10,10,10,29,21,NA,0,4,"",286
2011-05-15,"2011-5-15",15,12,9,8,6,3,76,62,48,1026,1025,1022,10,10,10,26,19,39,0,4,"",281
2011-05-16,"2011-5-16",20,16,12,10,8,6,82,64,46,1025,1022,1021,10,10,10,32,21,NA,0,3,"Rain",255
2011-05-17,"2011-5-17",18,14,12,12,9,7,88,69,52,1021,1020,1018,10,10,5,27,19,NA,0,5,"Rain",245
2011-05-18,"2011-5-18",19,16,13,14,11,8,94,76,60,1018,1015,1013,10,10,5,24,18,NA,0,6,"Rain",239
2011-05-19,"2011-5-19",19,14,11,8,6,2,72,56,34,1019,1017,1016,10,10,10,19,8,NA,0,4,"",250
2011-05-20,"2011-5-20",19,16,12,9,6,4,72,53,37,1021,1019,1017,10,10,10,23,13,NA,0,3,"",245
2011-05-21,"2011-5-21",20,16,11,9,7,4,82,58,37,1022,1019,1014,10,10,8,23,13,NA,0,2,"",214
2011-05-22,"2011-5-22",19,16,12,11,6,1,88,56,30,1023,1016,1011,10,10,7,40,24,61,0,4,"Rain",241
2011-05-23,"2011-5-23",19,14,11,10,7,5,82,64,49,1023,1020,1017,10,10,9,39,23,58,0,3,"",228
2011-05-24,"2011-5-24",19,14,9,6,3,0,76,48,30,1028,1025,1020,10,10,10,27,23,NA,0,2,"",255
2011-05-25,"2011-5-25",20,14,9,5,3,-3,71,46,23,1028,1022,1012,10,10,10,21,11,NA,0,NA,"",198
2011-05-26,"2011-5-26",17,14,12,11,8,4,82,67,48,1012,1008,1005,10,10,8,35,21,53,0,4,"Rain-Thunderstorm",249
2011-05-27,"2011-5-27",16,13,11,8,6,3,82,65,45,1019,1016,1012,10,10,10,29,21,NA,0,5,"Rain",270
2011-05-28,"2011-5-28",16,13,10,11,8,6,82,71,55,1018,1014,1012,10,10,10,29,19,47,0,6,"Rain",235
2011-05-29,"2011-5-29",19,17,14,12,11,10,77,70,56,1013,1012,1011,10,10,10,34,21,40,0,4,"",230
2011-05-30,"2011-5-30",21,16,12,12,11,8,94,78,49,1013,1011,1008,10,10,5,24,13,NA,0,5,"Rain",236
2011-05-31,"2011-5-31",17,13,10,8,5,1,82,58,34,1027,1020,1012,10,10,10,24,16,NA,0,3,"",297
2011-06-01,"2011-6-1",21,16,10,10,7,2,76,56,28,1032,1030,1028,10,10,10,23,10,NA,0,1,"",263
2011-06-02,"2011-6-2",22,17,13,12,11,10,82,64,50,1034,1033,1032,10,10,10,23,8,NA,0,5,"",71
2011-06-03,"2011-6-3",23,18,13,12,11,9,88,64,41,1034,1031,1027,10,10,8,29,14,40,0,1,"",50
2011-06-04,"2011-6-4",25,19,13,13,11,9,88,65,41,1027,1021,1017,10,10,10,34,18,NA,0,4,"",33
2011-06-05,"2011-6-5",19,16,12,14,11,9,94,79,56,1017,1012,1007,10,9,4,24,18,NA,0,5,"Rain",33
2011-06-06,"2011-6-6",15,12,10,10,9,6,94,79,63,1007,1006,1005,10,9,5,13,8,NA,0,6,"Rain",328
2011-06-07,"2011-6-7",18,14,12,9,7,5,82,62,42,1006,1004,1002,10,10,10,24,13,NA,0,3,"",210
2011-06-08,"2011-6-8",18,14,10,11,8,6,82,67,48,1010,1006,1004,10,10,10,29,16,40,0,2,"Rain",221
2011-06-09,"2011-6-9",18,14,10,9,7,4,82,62,45,1015,1013,1010,10,10,10,24,14,NA,0,2,"Rain",235
2011-06-10,"2011-6-10",15,12,10,8,6,3,82,69,48,1015,1014,1013,10,10,9,26,10,NA,0,3,"Rain-Thunderstorm",232
2011-06-11,"2011-6-11",18,13,9,8,6,-1,87,66,28,1018,1016,1014,10,10,5,23,11,NA,0,5,"Rain",249
2011-06-12,"2011-6-12",15,12,10,13,9,7,88,79,63,1018,1014,1009,10,10,9,24,13,40,0,5,"Rain",184
2011-06-13,"2011-6-13",21,18,15,14,12,9,94,71,49,1017,1011,1008,10,10,10,29,19,NA,0,4,"",238
2011-06-14,"2011-6-14",22,17,12,11,9,7,77,58,38,1020,1018,1017,10,10,10,23,8,NA,0,2,"",215
2011-06-15,"2011-6-15",20,18,15,15,12,11,88,73,60,1017,1014,1012,10,10,9,26,11,NA,0,5,"Rain",214
2011-06-16,"2011-6-16",17,13,11,12,10,6,88,77,48,1013,1011,1009,10,10,5,29,14,39,0,4,"Rain",235
2011-06-17,"2011-6-17",15,13,11,12,11,9,94,85,67,1013,1007,995,10,10,5,21,13,NA,0,4,"Rain",164
2011-06-18,"2011-6-18",17,14,12,12,9,7,94,74,55,1005,1001,996,10,10,5,35,24,52,0,4,"Rain",246
2011-06-19,"2011-6-19",19,16,12,10,8,6,82,65,45,1014,1010,1005,10,10,10,27,23,50,0,3,"Rain",251
2011-06-20,"2011-6-20",20,16,11,14,11,8,94,77,60,1014,1012,1009,10,10,5,19,8,NA,0,5,"Rain",164
2011-06-21,"2011-6-21",21,18,14,14,11,6,88,67,43,1011,1010,1009,10,10,6,37,21,NA,0,4,"Rain",225
2011-06-22,"2011-6-22",18,16,13,13,11,8,88,74,63,1011,1009,1007,10,10,8,29,18,NA,0,3,"Rain",221
2011-06-23,"2011-6-23",19,16,12,10,8,6,88,64,43,1019,1015,1012,10,10,10,34,21,NA,0,2,"Rain",255
2011-06-24,"2011-6-24",19,14,11,11,8,5,88,65,40,1024,1022,1020,10,10,10,24,16,NA,0,2,"Rain",241
2011-06-25,"2011-6-25",24,18,12,16,13,10,94,77,57,1023,1021,1019,10,10,7,29,18,NA,0,6,"Rain",238
2011-06-26,"2011-6-26",28,22,16,17,15,13,88,68,42,1023,1021,1017,10,10,9,24,13,NA,0,4,"",167
2011-06-27,"2011-6-27",32,26,19,17,16,12,88,58,29,1017,1014,1012,10,8,5,21,11,NA,0,NA,"",158
2011-06-28,"2011-6-28",23,19,16,17,16,12,88,80,65,1018,1015,1013,10,9,6,19,10,NA,0,6,"Rain-Thunderstorm",330
2011-06-29,"2011-6-29",20,16,12,11,6,3,72,51,33,1024,1022,1018,10,10,10,23,14,NA,0,5,"",296
2011-06-30,"2011-6-30",20,17,13,9,7,5,72,56,40,1026,1025,1024,10,10,10,27,11,NA,0,2,"Rain",297
2011-07-01,"2011-7-1",20,16,12,10,6,4,77,52,35,1027,1025,1023,10,10,10,14,11,NA,0,1,"",339
2011-07-02,"2011-7-2",21,17,14,11,9,5,82,58,35,1023,1020,1018,10,10,10,19,8,NA,0,1,"",131
2011-07-03,"2011-7-3",23,18,13,12,8,7,72,52,36,1018,1017,1016,10,10,10,14,8,NA,0,1,"",230
2011-07-04,"2011-7-4",24,19,14,12,9,7,72,53,34,1018,1017,1016,10,10,10,23,10,NA,0,NA,"",92
2011-07-05,"2011-7-5",26,20,14,14,11,7,88,62,32,1016,1012,1007,10,10,8,26,10,NA,0,4,"Rain",149
2011-07-06,"2011-7-6",20,17,14,14,10,6,94,66,40,1007,1005,1004,10,10,6,32,18,NA,0,3,"Rain",213
2011-07-07,"2011-7-7",19,17,14,13,11,10,88,74,56,1005,1004,1003,10,10,5,27,18,42,0,4,"Rain",191
2011-07-08,"2011-7-8",19,17,14,13,12,10,88,77,59,1007,1005,1003,10,10,7,34,14,48,0,4,"Rain",196
2011-07-09,"2011-7-9",21,17,14,12,11,10,88,68,49,1016,1011,1007,10,10,10,29,14,NA,0,3,"Rain",225
2011-07-10,"2011-7-10",22,18,14,12,11,10,88,67,46,1019,1017,1017,10,10,10,16,11,NA,0,2,"",236
2011-07-11,"2011-7-11",23,19,15,14,11,8,88,62,38,1020,1019,1018,10,10,10,19,6,NA,0,2,"",357
2011-07-12,"2011-7-12",19,17,14,14,12,10,88,71,56,1020,1018,1016,10,10,9,24,14,NA,0,3,"Rain",28
2011-07-13,"2011-7-13",17,14,13,10,8,5,77,64,45,1020,1019,1017,10,10,10,21,13,NA,0,3,"",345
2011-07-14,"2011-7-14",22,17,13,10,8,5,72,56,33,1020,1018,1017,10,10,10,21,13,NA,0,3,"",311
2011-07-15,"2011-7-15",23,18,14,12,9,3,77,54,29,1018,1016,1012,10,10,10,23,10,NA,0,3,"",217
2011-07-16,"2011-7-16",19,17,14,15,13,10,88,82,64,1012,1001,995,10,10,6,29,18,48,0,6,"Rain-Hail",209
2011-07-17,"2011-7-17",18,16,13,14,12,10,88,76,64,995,994,992,10,10,8,32,19,NA,0,4,"Rain-Thunderstorm",234
2011-07-18,"2011-7-18",19,17,14,12,11,10,88,75,60,1000,997,995,10,10,10,29,24,NA,0,5,"Rain",237
2011-07-19,"2011-7-19",20,16,12,14,12,10,94,77,56,1008,1003,1000,10,10,10,23,11,NA,0,2,"Rain",250
2011-07-20,"2011-7-20",19,17,14,13,11,8,94,70,49,1010,1009,1008,10,10,10,14,8,NA,0,3,"Rain",267
2011-07-21,"2011-7-21",19,17,14,14,12,11,94,80,64,1016,1012,1010,10,9,6,16,6,NA,0,4,"Rain",4
2011-07-22,"2011-7-22",20,16,12,12,9,5,94,66,40,1017,1016,1015,10,10,10,21,10,NA,0,3,"Rain",341
2011-07-23,"2011-7-23",18,14,12,11,8,4,88,62,42,1015,1013,1011,10,10,10,21,11,NA,0,3,"Rain",315
2011-07-24,"2011-7-24",23,18,13,12,7,4,77,53,31,1011,1010,1008,10,10,10,24,18,NA,0,3,"",291
2011-07-25,"2011-7-25",21,17,14,13,9,6,88,60,43,1011,1009,1008,10,10,10,21,10,NA,0,1,"",344
2011-07-26,"2011-7-26",19,17,15,13,11,10,82,70,56,1019,1015,1011,10,10,10,14,8,NA,0,5,"",17
2011-07-27,"2011-7-27",20,18,15,12,12,11,82,72,60,1022,1020,1019,10,10,10,19,10,NA,0,6,"",2
